标识,,,文本内容,,,,,立绘一,,,,,立绘二,,,,,背景图,特效,,,,,,,,,
标记,ID,跳转,名字,内容,连接,颜色,顿字,文件,X轴移动,特效,特效曲线,特效持续时间,文件,X轴移动,特效,特效曲线,特效持续时间,文件,代码,参数,,,,,,,,
|,0,1,洛天依,早上好,否,Red,100,VerticalDrawing1,0.5,缩放,线性,0.923463772,VerticalDrawing2,0.9,抖动,线性,0.519599858,room,,,,,,,,,,
|,1,2,乐正绫,快点天依，今天是去,是,White,100,VerticalDrawing1,0.3,抖动,三次方加速,0.258412541,VerticalDrawing2,0.7,缩放,线性,0.180737989,BackgroundTex2,,,,,,,,,,
|,2,3,,枫聆星,是,Yellow,100,VerticalDrawing1,0.2,缩放,三次方加速减速,0.151456909,VerticalDrawing2,0.4,抖动,线性,0.962636225,BackgroundTex1,,,,,,,,,,
|,3,4,,的日子，你不会忘了吧？,是,White,100,VerticalDrawing1,0.7,抖动,线性,0.578273047,VerticalDrawing1,0.1,缩放,三次方加速减速,0.167004084,BackgroundTex2,,,,,,,,,,
&,4,7,洛天依,选一,否,White,100,VerticalDrawing2,-1,缩放,指数减速,0.589697429,VerticalDrawing2,-1,抖动,线性,0.890864768,,,,,,,,,,,
&,5,8,,选二,否,White,100,VerticalDrawing1,-1,抖动,线性,0.159656923,VerticalDrawing2,-1,缩放,线性,0.554012462,BackgroundTex1,,,,,,,,,,
&,6,9,,选三,否,White,100,VerticalDrawing1,-1,,线性,0.609841673,VerticalDrawing1,-1,,线性,0.631757583,room,,,,,,,,,,
|,7,10,,选了一,否,Red,100,VerticalDrawing1,-1,,线性,0.864542609,VerticalDrawing2,-1,,指数加速,0.520489767,BackgroundTex1,,,,,,,,,,
|,8,10,,选了二,否,Yellow,100,VerticalDrawing2,-1,,线性,0.392168122,VerticalDrawing2,-1,,线性,0.470266624,,,,,,,,,,,
|,9,10,,选了三,否,White,100,VerticalDrawing1,-1,,指数加速减速,0.426786425,VerticalDrawing1,-1,,线性,0.354997301,BackgroundTex2,,,,,,,,,,
|,10,11,,447,否,Green,100,VerticalDrawing1,-1,,线性,0.31361668,VerticalDrawing2,-1,,指数加速减速,0.273782206,,,,,,,,,,,
|,11,12,,448,否,White,100,VerticalDrawing2,-1,,线性,0.621276817,VerticalDrawing2,-1,,线性,0.754898176,,,,,,,,,,,
|,12,13,,早上好,否,Purple,100,VerticalDrawing1,-1,缩放,线性,0.560390557,VerticalDrawing2,-1,抖动,线性,0.088817382,room,,,,,,,,,,
|,13,14,乐正绫,快点天依，今天是去,是,White,100,VerticalDrawing1,-1,抖动,线性,0.366437387,VerticalDrawing2,-1,缩放,线性,0.759847464,BackgroundTex1,,,,,,,,,,
|,14,15,,枫聆星,是,Aqua,100,VerticalDrawing1,-1,缩放,指数衰减加速反弹缓动,0.883424691,VerticalDrawing1,-1,抖动,三次方加速,0.7756775,,,,,,,,,,,
|,15,16,,的日子，你不会忘了吧？,是,Red,100,VerticalDrawing2,-1,抖动,线性,0.851553881,VerticalDrawing2,-1,缩放,指数衰减加速减速反弹缓动,0.033059456,room,,,,,,,,,,
|,16,17,洛天依,453,否,Black,100,VerticalDrawing1,-1,缩放,超范围三次方减速缓动,0.447644913,VerticalDrawing2,-1,抖动,线性,0.289271157,,,,,,,,,,,
|,17,18,,454,否,White,100,VerticalDrawing1,-1,抖动,线性,0.398439493,VerticalDrawing2,-1,缩放,线性,0.721376977,,,,,,,,,,,
|,18,19,,455,否,White,100,,-1,,,0.310719811,,-1,,,0.69272294,,,,,,,,,,,
END,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
